loan_id,farmer_id,region,land_holding_acres,prior_loan_count,prior_defaults,crop_type,season,loan_amount,interest_rate,loan_to_land_ratio,repayment_status,days_overdue
L100767,F20767,Phaltan,7,0,0,Soybean,Rabi,60000,9.08,8571,"Paid On Time",0
L100768,F20768,Daund,5.5,2,0,Soybean,Rabi,99200,9.35,18036,"Paid On Time",0
L100769,F20769,Baramati,5.4,0,0,Sugarcane,Kharif,55100,10.9,10204,"Paid On Time",0
L100770,F20770,Indapur,3.2,0,0,Cotton,Kharif,37600,9.61,11750,"Paid Late",28
L100771,F20771,Phaltan,1.5,3,0,Sugarcane,Rabi,20100,8.63,13400,"Paid On Time",0
L100772,F20772,Malshiras,3.9,2,0,Soybean,Kharif,64100,9.32,16436,Defaulted,250
L100773,F20773,Baramati,4.8,2,0,Wheat,Kharif,52300,10.98,10896,"Paid On Time",0
L100774,F20774,Phaltan,4.9,1,0,Wheat,Kharif,77600,9.4,15837,"Paid Late",11
L100775,F20775,Malshiras,4.5,0,0,Sugarcane,Rabi,45500,9.78,10111,"Paid On Time",0
L100776,F20776,Malshiras,4.4,2,0,Sugarcane,Kharif,46000,7.86,10455,"Paid On Time",0
L100777,F20777,Daund,2.2,1,0,Wheat,Kharif,31300,7.04,14227,"Paid On Time",0
L100778,F20778,Baramati,2.3,2,1,Soybean,Rabi,33400,11.65,14522,"Paid On Time",0
L100779,F20779,Indapur,1.6,3,2,Jowar,Rabi,19500,8.34,12188,"Paid On Time",0
L100780,F20780,Malshiras,6.5,0,0,Cotton,Rabi,78400,8.74,12062,"Paid On Time",0
L100781,F20781,Malshiras,10.2,5,0,Sugarcane,Rabi,132400,7.57,12980,Defaulted,176
L100782,F20782,Phaltan,16.2,2,1,Cotton,Rabi,159300,9.56,9833,"Paid On Time",0
L100783,F20783,Baramati,4.1,0,0,Wheat,Rabi,58100,10.69,14171,"Paid On Time",0
L100784,F20784,Baramati,4.4,3,0,Soybean,Rabi,48000,10.43,10909,"Paid On Time",0
L100785,F20785,Daund,3.2,1,0,Sugarcane,Kharif,35700,11.28,11156,Defaulted,292
L100786,F20786,Daund,4,0,0,Sugarcane,Kharif,38600,8.43,9650,"Paid Late",59
L100787,F20787,Baramati,1.9,5,1,Wheat,Rabi,24500,8.57,12895,"Paid On Time",0
L100788,F20788,Phaltan,3.2,3,0,Cotton,Rabi,53500,11.83,16719,"Paid Late",7
L100789,F20789,Daund,2.1,1,0,Wheat,Kharif,23800,9.28,11333,"Paid On Time",0
L100790,F20790,Baramati,2.9,2,0,Cotton,Rabi,26700,11.17,9207,"Paid On Time",0
L100791,F20791,Baramati,2.2,2,0,Cotton,Rabi,19100,10.06,8682,"Paid Late",19
L100792,F20792,Daund,4.8,1,0,Cotton,Kharif,54900,7.9,11438,"Paid On Time",0
L100793,F20793,Phaltan,5.2,0,0,Onion,Rabi,62900,11.79,12096,"Paid On Time",0
L100794,F20794,Malshiras,4.3,0,0,Sugarcane,Kharif,65500,8.62,15233,"Paid On Time",0
L100795,F20795,Daund,2.3,0,0,Sugarcane,Rabi,16400,10.21,7130,Defaulted,226
L100796,F20796,Indapur,1.6,0,0,Jowar,Rabi,15000,8.27,9375,"Paid On Time",0
L100797,F20797,Malshiras,5.3,0,0,Sugarcane,Rabi,61800,9.88,11660,"Paid On Time",0
L100798,F20798,Daund,3.6,1,0,Cotton,Rabi,41700,9.71,11583,"Paid On Time",0
L100799,F20799,Indapur,1.1,1,0,Cotton,Rabi,15000,8.31,13636,"Paid On Time",0
L100800,F20800,Daund,3.9,2,0,Wheat,Kharif,39900,11.94,10231,"Paid On Time",0
L100801,F20801,Baramati,4.4,2,0,Soybean,Rabi,35800,7.7,8136,"Paid On Time",0
L100802,F20802,Indapur,1.3,0,0,Jowar,Kharif,15000,9.22,11538,"Paid On Time",0
L100803,F20803,Daund,4.9,2,0,Wheat,Rabi,34300,7.16,7000,"Paid On Time",0
L100804,F20804,Malshiras,1.4,0,0,Soybean,Kharif,18000,10.41,12857,"Paid On Time",0
L100805,F20805,Phaltan,2.2,0,0,Cotton,Kharif,25700,9.31,11682,"Paid On Time",0
L100806,F20806,Phaltan,1.4,2,0,Jowar,Kharif,15000,9.8,10714,"Paid On Time",0
L100807,F20807,Daund,2,2,0,Jowar,Kharif,24200,10.49,12100,"Paid On Time",0
L100808,F20808,Baramati,1.6,0,0,Jowar,Kharif,17200,10.82,10750,"Paid On Time",0
L100809,F20809,Indapur,6.4,2,0,Sugarcane,Kharif,89100,11.83,13922,"Paid Late",47
L100810,F20810,Malshiras,3.1,1,0,Wheat,Kharif,37500,11.32,12097,"Paid On Time",0
L100811,F20811,Baramati,2.7,1,0,Wheat,Kharif,28200,8.62,10444,"Paid On Time",0
L100812,F20812,Malshiras,6.8,1,0,Onion,Rabi,75100,10.64,11044,"Paid On Time",0
L100813,F20813,Phaltan,6.6,2,1,Cotton,Kharif,55000,7.38,8333,Defaulted,275
L100814,F20814,Indapur,2.8,0,0,Jowar,Rabi,23700,7.68,8464,"Paid Late",36
L100815,F20815,Phaltan,4.2,1,0,Wheat,Kharif,41400,9.3,9857,"Paid On Time",0
L100816,F20816,Malshiras,2.4,1,0,Jowar,Rabi,25200,9.3,10500,"Paid On Time",0
L100817,F20817,Baramati,3.4,4,0,Wheat,Rabi,47100,9.53,13853,"Paid Late",34
L100818,F20818,Baramati,1.8,1,0,Jowar,Rabi,24400,9.38,13556,"Paid On Time",0
L100819,F20819,Phaltan,4.6,1,0,Cotton,Rabi,50100,10.21,10891,"Paid Late",14
L100820,F20820,Malshiras,7,0,0,Sugarcane,Rabi,77900,11.77,11129,"Paid On Time",0
L100821,F20821,Baramati,6.3,1,0,Cotton,Kharif,49400,7.86,7841,"Paid On Time",0
L100822,F20822,Phaltan,3.7,1,0,Jowar,Kharif,41500,8.79,11216,"Paid On Time",0
L100823,F20823,Baramati,1,3,0,Sugarcane,Kharif,15000,7.37,15000,"Paid On Time",0
L100824,F20824,Phaltan,2.4,0,0,Wheat,Rabi,21200,8,8833,"Paid On Time",0
L100825,F20825,Phaltan,3.4,0,0,Onion,Rabi,43600,11.94,12824,"Paid On Time",0
L100826,F20826,Baramati,1.5,0,0,Jowar,Kharif,20100,7.2,13400,"Paid On Time",0
L100827,F20827,Phaltan,1.3,1,0,Wheat,Rabi,20700,8.07,15923,"Paid On Time",0
L100828,F20828,Malshiras,8.2,0,0,Jowar,Kharif,89500,9.13,10915,Defaulted,106
L100829,F20829,Malshiras,5.8,0,0,Sugarcane,Rabi,57900,8.46,9983,"Paid On Time",0
L100830,F20830,Baramati,4.8,1,0,Soybean,Rabi,45000,9.73,9375,"Paid On Time",0
L100831,F20831,Indapur,5.4,1,0,Soybean,Kharif,63400,11.95,11741,"Paid On Time",0
L100832,F20832,Indapur,1.6,0,0,Jowar,Rabi,17000,10.52,10625,"Paid On Time",0
L100833,F20833,Daund,2,1,0,Cotton,Kharif,23600,9.03,11800,Defaulted,328
L100834,F20834,Baramati,4.1,3,1,Sugarcane,Rabi,52100,10.41,12707,"Paid On Time",0
L100835,F20835,Malshiras,4.3,2,0,Wheat,Rabi,42400,11.36,9860,"Paid On Time",0
L100836,F20836,Phaltan,1.4,2,0,Soybean,Kharif,15000,8.15,10714,Defaulted,144
L100837,F20837,Malshiras,3.9,0,0,Jowar,Kharif,26300,10.58,6744,"Paid On Time",0
L100838,F20838,Baramati,3.4,1,0,Soybean,Kharif,30200,10.07,8882,"Paid On Time",0
L100839,F20839,Baramati,6.1,0,0,Jowar,Rabi,67800,10.67,11115,"Paid On Time",0
L100840,F20840,Malshiras,4.3,1,1,Soybean,Rabi,41900,7.42,9744,"Paid On Time",0
L100841,F20841,Indapur,8.7,2,0,Jowar,Kharif,114700,10.66,13184,"Paid On Time",0
L100842,F20842,Phaltan,2.8,1,0,Wheat,Kharif,34300,10.94,12250,Defaulted,224
L100843,F20843,Malshiras,1.7,0,0,Cotton,Kharif,19200,10.44,11294,"Paid Late",59
L100844,F20844,Baramati,8.6,4,2,Cotton,Kharif,128400,7.99,14930,"Paid Late",45
L100845,F20845,Baramati,4.4,3,0,Jowar,Kharif,48400,7.81,11000,"Paid On Time",0
L100846,F20846,Baramati,3.4,0,0,Cotton,Rabi,29500,10.69,8676,"Paid On Time",0
L100847,F20847,Baramati,2,1,0,Wheat,Kharif,27300,10.24,13650,"Paid On Time",0
L100848,F20848,Baramati,2.8,2,1,Sugarcane,Rabi,35500,11.92,12679,"Paid On Time",0
L100849,F20849,Malshiras,2.7,1,1,Jowar,Kharif,31700,9.27,11741,"Paid Late",6
L100850,F20850,Phaltan,1.6,1,0,Cotton,Rabi,26700,8.15,16688,"Paid On Time",0
L100851,F20851,Malshiras,0.8,1,0,Wheat,Kharif,15000,10.85,18750,"Paid On Time",0
L100852,F20852,Malshiras,2.7,1,0,Soybean,Kharif,22500,10.74,8333,Defaulted,93
L100853,F20853,Malshiras,5.5,0,0,Cotton,Kharif,70900,9.61,12891,"Paid On Time",0
L100854,F20854,Indapur,7.3,1,0,Soybean,Rabi,66000,10.73,9041,Defaulted,169
L100855,F20855,Indapur,6.3,1,0,Jowar,Rabi,71400,8.55,11333,"Paid On Time",0
L100856,F20856,Malshiras,6.5,1,0,Wheat,Kharif,85800,8.08,13200,"Paid On Time",0
L100857,F20857,Indapur,1.8,4,1,Onion,Kharif,15000,7.63,8333,"Paid On Time",0
L100858,F20858,Baramati,4.1,1,0,Jowar,Rabi,60900,8.45,14854,Defaulted,356
L100859,F20859,Phaltan,4.9,2,1,Wheat,Kharif,57000,10.27,11633,"Paid Late",49
L100860,F20860,Malshiras,5.1,3,1,Soybean,Rabi,37900,8.29,7431,"Paid Late",43
L100861,F20861,Malshiras,3.4,0,0,Onion,Kharif,57400,11.42,16882,"Paid On Time",0
L100862,F20862,Malshiras,3.8,1,0,Soybean,Rabi,53800,8.25,14158,"Paid On Time",0
L100863,F20863,Baramati,6.2,1,0,Soybean,Rabi,72200,10.42,11645,"Paid On Time",0
L100864,F20864,Phaltan,4.8,1,0,Jowar,Kharif,67300,9.64,14021,"Paid On Time",0
L100865,F20865,Malshiras,5.3,3,0,Onion,Rabi,49800,8.06,9396,"Paid On Time",0
L100866,F20866,Phaltan,2.6,0,0,Soybean,Kharif,20200,9.78,7769,"Paid On Time",0
L100867,F20867,Malshiras,5.1,0,0,Sugarcane,Rabi,68200,11.77,13373,Defaulted,310
L100868,F20868,Malshiras,3.8,2,0,Wheat,Rabi,51500,11.72,13553,Defaulted,248
L100869,F20869,Daund,5.8,3,1,Wheat,Rabi,76500,8.46,13190,"Paid On Time",0
L100870,F20870,Baramati,2.2,1,0,Cotton,Kharif,39300,9.68,17864,"Paid Late",21
L100871,F20871,Daund,5.5,0,0,Wheat,Kharif,74800,7.75,13600,"Paid On Time",0
L100872,F20872,Indapur,2.9,3,0,Soybean,Kharif,21700,9.35,7483,"Paid On Time",0
L100873,F20873,Baramati,5.5,1,0,Cotton,Rabi,63700,8.61,11582,"Paid Late",7
L100874,F20874,Baramati,4.2,2,1,Wheat,Rabi,69900,11.65,16643,"Paid On Time",0
L100875,F20875,Phaltan,3.6,2,0,Soybean,Kharif,30400,10.16,8444,"Paid On Time",0
L100876,F20876,Daund,3,2,0,Jowar,Rabi,40900,7.92,13633,"Paid On Time",0
L100877,F20877,Daund,3.4,2,0,Sugarcane,Rabi,37300,11.96,10971,"Paid On Time",0
L100878,F20878,Phaltan,2.7,3,1,Jowar,Rabi,47300,10.47,17519,"Paid On Time",0
L100879,F20879,Daund,2.9,1,0,Cotton,Kharif,41000,7.67,14138,"Paid On Time",0
L100880,F20880,Phaltan,4.7,0,0,Onion,Kharif,49200,11,10468,"Paid On Time",0
L100881,F20881,Baramati,1.2,3,0,Jowar,Kharif,15000,9.79,12500,"Paid Late",18
L100882,F20882,Malshiras,5.5,2,0,Cotton,Rabi,53700,9,9764,"Paid On Time",0
L100883,F20883,Daund,5.5,3,1,Onion,Rabi,64400,7.98,11709,Defaulted,335
L100884,F20884,Baramati,3,0,0,Soybean,Rabi,33000,8.39,11000,Defaulted,333
L100885,F20885,Malshiras,3.9,1,0,Soybean,Kharif,62100,7.84,15923,Defaulted,241
L100886,F20886,Phaltan,1.9,0,0,Onion,Rabi,30900,11.02,16263,Defaulted,331
L100887,F20887,Baramati,4.5,0,0,Onion,Rabi,43600,8.36,9689,"Paid On Time",0
L100888,F20888,Baramati,2,0,0,Wheat,Kharif,33900,9.35,16950,"Paid On Time",0
L100889,F20889,Baramati,0.6,2,1,Onion,Kharif,15000,11.84,25000,"Paid On Time",0
L100890,F20890,Indapur,7.2,2,0,Cotton,Kharif,89800,11.97,12472,"Paid On Time",0
L100891,F20891,Baramati,1.8,0,0,Cotton,Rabi,15000,10.96,8333,"Paid On Time",0
L100892,F20892,Phaltan,3.4,3,0,Sugarcane,Kharif,42900,10.99,12618,"Paid On Time",0
L100893,F20893,Daund,4,3,0,Cotton,Kharif,49200,11.72,12300,Defaulted,269
L100894,F20894,Malshiras,4.7,3,0,Wheat,Kharif,57500,10.98,12234,"Paid On Time",0
L100895,F20895,Phaltan,3.6,1,0,Cotton,Rabi,54000,9.25,15000,"Paid On Time",0
L100896,F20896,Phaltan,4.2,1,0,Soybean,Rabi,38100,7.3,9071,"Paid On Time",0
L100897,F20897,Daund,3,2,1,Sugarcane,Rabi,36300,8.04,12100,Defaulted,137
L100898,F20898,Baramati,1.3,2,0,Cotton,Rabi,22300,9.22,17154,"Paid On Time",0
L100899,F20899,Baramati,3.5,4,1,Wheat,Rabi,29800,8.33,8514,"Paid On Time",0
L100900,F20900,Phaltan,5.1,0,0,Sugarcane,Rabi,57200,8.65,11216,"Paid Late",53
L100901,F20901,Baramati,1.8,1,1,Wheat,Kharif,21200,7.29,11778,"Paid Late",52
L100902,F20902,Baramati,4,0,0,Jowar,Rabi,68600,9.76,17150,"Paid Late",37
L100903,F20903,Indapur,9.8,2,0,Soybean,Rabi,87100,8.76,8888,"Paid Late",30
L100904,F20904,Malshiras,3.3,1,0,Jowar,Rabi,38700,8.29,11727,"Paid On Time",0
L100905,F20905,Daund,3.4,0,0,Onion,Kharif,55100,10.05,16206,"Paid On Time",0
L100906,F20906,Phaltan,1.2,0,0,Sugarcane,Kharif,16100,8.38,13417,Defaulted,90
L100907,F20907,Daund,1.7,0,0,Wheat,Kharif,22700,9.38,13353,"Paid Late",9
L100908,F20908,Baramati,2.1,3,3,Cotton,Kharif,20600,8.23,9810,Defaulted,164
L100909,F20909,Indapur,5,1,0,Soybean,Kharif,36600,10.4,7320,"Paid On Time",0
L100910,F20910,Baramati,1.9,2,0,Wheat,Kharif,26200,11.27,13789,"Paid On Time",0
L100911,F20911,Phaltan,1,2,1,Wheat,Kharif,15000,7.41,15000,"Paid On Time",0
L100912,F20912,Baramati,4.4,2,0,Jowar,Rabi,56600,11.1,12864,"Paid Late",12
L100913,F20913,Indapur,2.2,0,0,Wheat,Rabi,16100,11.26,7318,"Paid On Time",0
L100914,F20914,Malshiras,1.2,3,0,Jowar,Rabi,15000,11.82,12500,Defaulted,329
L100915,F20915,Daund,5.3,2,0,Wheat,Kharif,53700,11.14,10132,Defaulted,178
L100916,F20916,Daund,2.8,4,0,Sugarcane,Kharif,43200,9.76,15429,Defaulted,287
L100917,F20917,Daund,4.7,2,0,Sugarcane,Kharif,59900,7.35,12745,"Paid Late",46
L100918,F20918,Phaltan,1.2,0,0,Soybean,Rabi,16100,7.37,13417,"Paid On Time",0
L100919,F20919,Indapur,0.8,3,0,Wheat,Kharif,15000,7.98,18750,"Paid On Time",0
L100920,F20920,Phaltan,3.8,1,0,Sugarcane,Rabi,41900,9.24,11026,"Paid Late",22
L100921,F20921,Malshiras,1.7,0,0,Soybean,Kharif,18400,11.78,10824,"Paid On Time",0
L100922,F20922,Daund,3.7,1,0,Cotton,Kharif,64600,7.88,17459,"Paid On Time",0
L100923,F20923,Daund,3.8,2,0,Soybean,Kharif,30700,9.69,8079,Defaulted,323
L100924,F20924,Baramati,3.5,0,0,Soybean,Kharif,42200,11.99,12057,"Paid On Time",0
L100925,F20925,Indapur,6.5,1,0,Cotton,Kharif,83400,7.07,12831,Defaulted,107
L100926,F20926,Malshiras,14.8,0,0,Sugarcane,Rabi,188800,7.23,12757,Defaulted,326
L100927,F20927,Daund,4.4,1,0,Cotton,Kharif,35700,8.35,8114,"Paid On Time",0
L100928,F20928,Indapur,9.8,2,0,Soybean,Kharif,105400,8.13,10755,"Paid Late",30
L100929,F20929,Daund,2.8,2,0,Onion,Kharif,32500,9.49,11607,Defaulted,128
L100930,F20930,Daund,1.5,0,0,Cotton,Rabi,21800,9.1,14533,Defaulted,107
L100931,F20931,Daund,2.3,1,0,Soybean,Rabi,19200,9.92,8348,"Paid On Time",0
L100932,F20932,Phaltan,2.9,1,0,Soybean,Rabi,41500,7.74,14310,"Paid On Time",0
L100933,F20933,Indapur,10.3,1,1,Wheat,Kharif,130400,10.43,12660,"Paid Late",59
L100934,F20934,Phaltan,3.6,3,0,Cotton,Rabi,63100,8.07,17528,"Paid On Time",0
L100935,F20935,Daund,6.6,2,0,Sugarcane,Kharif,122800,9.26,18606,"Paid On Time",0
L100936,F20936,Malshiras,2.7,1,0,Onion,Rabi,33900,7.17,12556,"Paid Late",37
L100937,F20937,Baramati,2.5,1,0,Onion,Rabi,41400,10.99,16560,"Paid On Time",0
L100938,F20938,Baramati,1.2,0,0,Soybean,Kharif,15400,10.14,12833,"Paid On Time",0
L100939,F20939,Daund,10.1,1,0,Wheat,Kharif,118600,8.04,11743,Defaulted,220
L100940,F20940,Daund,8,2,0,Sugarcane,Kharif,76600,10.01,9575,"Paid On Time",0
L100941,F20941,Phaltan,4,2,0,Sugarcane,Kharif,42600,9.19,10650,"Paid Late",57
L100942,F20942,Daund,3,0,0,Sugarcane,Kharif,44200,11.13,14733,Defaulted,96
L100943,F20943,Malshiras,3.7,2,0,Wheat,Kharif,38200,11.92,10324,"Paid Late",17
L100944,F20944,Daund,1.4,1,0,Cotton,Kharif,21200,7.62,15143,Defaulted,231
L100945,F20945,Baramati,4.7,1,0,Sugarcane,Rabi,37100,9.45,7894,Defaulted,286
L100946,F20946,Baramati,7.6,2,1,Sugarcane,Kharif,92600,8.29,12184,Defaulted,206
L100947,F20947,Malshiras,7.8,1,0,Sugarcane,Rabi,125400,10.75,16077,Defaulted,328
L100948,F20948,Baramati,1.2,0,0,Soybean,Kharif,15700,7.17,13083,"Paid Late",31
L100949,F20949,Malshiras,6.6,3,1,Soybean,Kharif,97300,9.72,14742,"Paid Late",11
L100950,F20950,Indapur,1.4,0,0,Soybean,Kharif,16100,11.29,11500,"Paid On Time",0
L100951,F20951,Baramati,0.8,1,0,Soybean,Rabi,15000,8.95,18750,"Paid On Time",0
L100952,F20952,Indapur,6.7,0,0,Soybean,Kharif,63900,11.19,9537,Defaulted,376
L100953,F20953,Phaltan,2.5,2,0,Jowar,Rabi,29000,7.73,11600,"Paid On Time",0
L100954,F20954,Daund,6.2,2,0,Cotton,Rabi,83200,11.59,13419,"Paid Late",40
L100955,F20955,Phaltan,5.8,1,0,Cotton,Rabi,52200,10.96,9000,"Paid On Time",0
L100956,F20956,Phaltan,5.4,0,0,Jowar,Kharif,65400,8.96,12111,"Paid On Time",0
L100957,F20957,Daund,3.7,2,0,Wheat,Kharif,54400,7.65,14703,"Paid Late",6
L100958,F20958,Phaltan,1.5,2,0,Soybean,Rabi,17800,9.6,11867,"Paid On Time",0
L100959,F20959,Malshiras,2.9,3,0,Cotton,Rabi,35600,10.35,12276,Defaulted,186
L100960,F20960,Daund,7.9,2,0,Sugarcane,Rabi,116400,7.64,14734,"Paid Late",54
L100961,F20961,Baramati,6.3,0,0,Sugarcane,Rabi,79100,11.67,12556,Defaulted,241
L100962,F20962,Daund,3,0,0,Jowar,Kharif,33500,10.81,11167,"Paid On Time",0
L100963,F20963,Malshiras,3,3,0,Wheat,Rabi,26400,11.76,8800,"Paid On Time",0
L100964,F20964,Indapur,5.1,0,0,Sugarcane,Rabi,65000,8.5,12745,"Paid On Time",0
L100965,F20965,Malshiras,3.9,0,0,Sugarcane,Rabi,44300,9.17,11359,Defaulted,289
L100966,F20966,Daund,3.1,3,0,Cotton,Rabi,30600,8.2,9871,"Paid On Time",0
L100967,F20967,Phaltan,4.8,2,0,Cotton,Kharif,73000,8.37,15208,"Paid Late",46
L100968,F20968,Indapur,4.7,0,0,Soybean,Rabi,49500,7.73,10532,"Paid On Time",0
L100969,F20969,Malshiras,2.3,5,0,Soybean,Rabi,29200,7.63,12696,"Paid Late",30
L100970,F20970,Baramati,4.3,2,0,Jowar,Kharif,64300,10.35,14953,"Paid On Time",0
L100971,F20971,Indapur,4.6,2,0,Wheat,Kharif,73100,7.78,15891,"Paid On Time",0
L100972,F20972,Daund,3.5,2,0,Onion,Kharif,32900,7.67,9400,"Paid On Time",0
L100973,F20973,Daund,2.2,2,0,Jowar,Kharif,31300,9.67,14227,"Paid On Time",0
L100974,F20974,Daund,2.9,1,1,Onion,Rabi,29200,10.52,10069,"Paid On Time",0
L100975,F20975,Baramati,1.9,4,1,Onion,Kharif,19300,10.89,10158,Defaulted,226
L100976,F20976,Indapur,4.4,0,0,Cotton,Rabi,78500,9.9,17841,"Paid On Time",0
L100977,F20977,Baramati,1.2,1,0,Cotton,Kharif,15000,8.01,12500,Defaulted,231
L100978,F20978,Daund,8.4,2,0,Sugarcane,Rabi,79900,9.87,9512,"Paid Late",34
L100979,F20979,Indapur,7.4,3,0,Wheat,Rabi,69400,10.13,9378,"Paid On Time",0
L100980,F20980,Daund,4.6,1,0,Wheat,Rabi,52200,8.29,11348,"Paid On Time",0
L100981,F20981,Daund,6,3,0,Sugarcane,Kharif,74600,7.72,12433,"Paid Late",9
L100982,F20982,Phaltan,5.8,2,0,Jowar,Rabi,42200,11.63,7276,"Paid On Time",0
L100983,F20983,Daund,3.9,2,0,Jowar,Kharif,39500,7.48,10128,"Paid On Time",0
L100984,F20984,Phaltan,3.2,2,0,Wheat,Rabi,36300,8.39,11344,"Paid On Time",0
L100985,F20985,Daund,2.9,3,1,Soybean,Kharif,30600,8.16,10552,Defaulted,315
L100986,F20986,Phaltan,8.6,1,0,Sugarcane,Kharif,72400,11.46,8419,"Paid On Time",0
L100987,F20987,Phaltan,2.1,2,1,Soybean,Rabi,17700,9.51,8429,"Paid On Time",0
L100988,F20988,Indapur,2.1,2,1,Sugarcane,Kharif,24800,11.78,11810,Defaulted,381
L100989,F20989,Indapur,6.4,0,0,Wheat,Kharif,63900,11.14,9984,Defaulted,285
L100990,F20990,Phaltan,6,2,0,Cotton,Kharif,86000,10.77,14333,"Paid On Time",0
L100991,F20991,Indapur,3,1,0,Cotton,Kharif,24800,7.88,8267,"Paid Late",34
L100992,F20992,Daund,4.9,3,1,Soybean,Rabi,66800,8.72,13633,Defaulted,261
L100993,F20993,Baramati,5.3,1,0,Wheat,Rabi,68800,11.1,12981,"Paid On Time",0
L100994,F20994,Daund,1.5,2,0,Cotton,Kharif,16600,11.92,11067,"Paid On Time",0
L100995,F20995,Daund,7.6,2,1,Onion,Rabi,100300,11.39,13197,Defaulted,255
L100996,F20996,Phaltan,5.3,1,0,Sugarcane,Rabi,43800,11.74,8264,"Paid On Time",0
L100997,F20997,Daund,4.7,5,0,Onion,Rabi,48300,10.21,10277,"Paid On Time",0
L100998,F20998,Indapur,5.4,0,0,Sugarcane,Rabi,72300,9.41,13389,Defaulted,360
L100999,F20999,Malshiras,4.4,4,1,Cotton,Kharif,61500,9.57,13977,"Paid On Time",0
L101000,F21000,Daund,3.4,0,0,Onion,Kharif,39700,9.29,11676,"Paid On Time",0
L101001,F21001,Malshiras,3.9,1,0,Wheat,Rabi,34500,7.77,8846,"Paid On Time",0
L101002,F21002,Phaltan,1.4,1,0,Wheat,Rabi,23600,8.53,16857,"Paid On Time",0
L101003,F21003,Daund,10.6,1,1,Wheat,Rabi,116100,7.45,10953,"Paid On Time",0
L101004,F21004,Malshiras,3.4,3,0,Soybean,Kharif,32900,7.44,9676,"Paid On Time",0
L101005,F21005,Baramati,10.5,3,0,Jowar,Rabi,128300,8.56,12219,"Paid On Time",0
L101006,F21006,Malshiras,4,0,0,Sugarcane,Kharif,61300,10.33,15325,"Paid Late",12
L101007,F21007,Malshiras,2.4,0,0,Jowar,Rabi,23700,10.07,9875,"Paid On Time",0
L101008,F21008,Daund,7.5,2,0,Onion,Kharif,98700,9.8,13160,"Paid On Time",0
L101009,F21009,Phaltan,4.6,2,0,Jowar,Rabi,53500,10.74,11630,"Paid On Time",0
L101010,F21010,Daund,12.9,1,0,Wheat,Rabi,118000,9.11,9147,"Paid On Time",0
L101011,F21011,Indapur,2.4,3,0,Wheat,Kharif,21200,9.21,8833,"Paid On Time",0
L101012,F21012,Phaltan,7.7,5,0,Soybean,Rabi,54500,9.59,7078,"Paid Late",7
L101013,F21013,Indapur,7.9,2,0,Soybean,Rabi,57900,7.33,7329,"Paid On Time",0
L101014,F21014,Indapur,5.6,0,0,Jowar,Kharif,62300,9.91,11125,"Paid On Time",0
L101015,F21015,Daund,8,3,1,Wheat,Kharif,87500,10.75,10938,Defaulted,324
L101016,F21016,Malshiras,3.4,1,1,Soybean,Rabi,40600,8.32,11941,"Paid Late",15
L101017,F21017,Indapur,2.1,2,0,Jowar,Kharif,24900,11.27,11857,"Paid On Time",0
L101018,F21018,Daund,2.6,1,0,Sugarcane,Kharif,37200,8.33,14308,"Paid On Time",0
L101019,F21019,Baramati,3.8,3,0,Jowar,Rabi,42800,9.57,11263,Defaulted,149
L101020,F21020,Baramati,5.8,1,1,Jowar,Rabi,79600,11.37,13724,Defaulted,146
L101021,F21021,Baramati,2.2,0,0,Cotton,Rabi,21000,10.69,9545,Defaulted,265
L101022,F21022,Baramati,2.9,0,0,Sugarcane,Rabi,28400,9.88,9793,"Paid On Time",0
L101023,F21023,Malshiras,2.3,0,0,Wheat,Kharif,28900,10.11,12565,"Paid Late",12
L101024,F21024,Malshiras,6.4,0,0,Sugarcane,Rabi,64000,7.54,10000,"Paid Late",18
L101025,F21025,Malshiras,10.4,1,0,Onion,Kharif,115900,10.5,11144,"Paid On Time",0
L101026,F21026,Baramati,1.9,3,0,Sugarcane,Kharif,21300,10.06,11211,"Paid On Time",0
L101027,F21027,Baramati,5.1,1,1,Cotton,Rabi,52800,7.42,10353,"Paid On Time",0
L101028,F21028,Indapur,6.9,1,0,Sugarcane,Rabi,105400,7.62,15275,"Paid Late",25
L101029,F21029,Daund,3.2,4,0,Jowar,Kharif,21300,11.86,6656,"Paid On Time",0
L101030,F21030,Indapur,1.5,5,1,Soybean,Rabi,23700,7.89,15800,"Paid On Time",0
L101031,F21031,Daund,7.5,0,0,Jowar,Rabi,86900,11.48,11587,"Paid On Time",0
L101032,F21032,Baramati,1.4,0,0,Onion,Kharif,15000,8.38,10714,Defaulted,255
L101033,F21033,Phaltan,8.8,1,0,Wheat,Kharif,107500,8.98,12216,"Paid On Time",0
L101034,F21034,Indapur,2.3,3,0,Cotton,Kharif,27200,9.78,11826,"Paid Late",37
L101035,F21035,Baramati,1.3,2,0,Sugarcane,Rabi,20300,10.13,15615,"Paid On Time",0
L101036,F21036,Phaltan,2.7,1,0,Jowar,Kharif,32300,9.49,11963,"Paid On Time",0
L101037,F21037,Malshiras,3.6,3,1,Cotton,Kharif,45500,8.74,12639,"Paid On Time",0
L101038,F21038,Baramati,4.1,2,0,Jowar,Kharif,47200,9.49,11512,"Paid On Time",0
L101039,F21039,Daund,5.4,1,0,Jowar,Rabi,100300,10.5,18574,"Paid On Time",0
L101040,F21040,Malshiras,4.3,1,0,Wheat,Kharif,40600,8.98,9442,"Paid On Time",0
